1s,2s,3s,4s,5s,6s,7s,8s,9s,10s,appliance
10.2632,13.67711,7.79084,6.64225,11.34956,7.73174,9.41364,8.72796,9.86557,121.62413,Desk Lamp
0.5346,0.36488,0.20707,0.697,0.16614,1.0748,1.318,1.75402,0.23115,1.04637,Phone Charger
20.27229,27.57047,23.56672,22.05391,20.99209,17.47929,17.5785,17.05086,17.45166,117.87964,Monitor
49.03474,50.66601,49.09451,49.07633,49.82252,50.89839,46.89022,49.48543,49.49576,126.45173,Electric Fan
17.66502,35.06764,27.17031,30.49942,25.84052,27.83156,26.98204,20.86424,54.93528,49.68701,Laptop Charger
20.99454,8.00039,9.19947,7.64697,9.20338,7.85816,5.10848,11.9866,9.28931,7.82453,Desk Lamp
0.20334,0.19531,1.23315,0.62566,0.05162,0.38392,1.98851,0.12688,1.02832,1.51793,Phone Charger
31.3387,22.85597,24.84297,24.20513,21.20729,21.88731,24.27633,24.32741,19.44256,19.43998,Monitor
57.725,50.91856,53.60456,53.54658,51.91608,52.13642,51.30422,55.38032,52.69373,52.61284,Electric Fan
57.38718,47.55656,73.26505,47.78206,75.61791,44.58745,54.78843,54.14265,49.24886,58.13676,Laptop Charger
7.42472,7.14299,7.1255,8.40849,7.79927,9.94118,16.7067,6.37951,7.61296,6.41599,Desk Lamp
1.36344,0.60399,0.96148,2.29871,0.41563,2.54572,1.76173,2.45994,1.03499,1.15652,Phone Charger
20.71853,20.97982,25.62608,23.91662,20.24214,17.86589,31.02514,20.53234,24.08018,24.91289,Monitor
51.12488,49.78787,53.31412,54.64184,51.51425,52.88329,55.98268,53.30806,51.3693,52.1846,Electric Fan
45.87601,53.46496,50.48606,49.19119,57.16847,47.12035,51.40557,57.01902,43.20114,55.47425,Laptop Charger
9.87693,17.68832,11.74854,25.21503,18.7772,8.90363,10.67891,9.81627,5.52726,8.17461,Desk Lamp
0.38745,1.31794,0.22573,1.49232,1.0981,0.80964,0.64542,1.04498,1.41515,0.47527,Phone Charger
29.8559,35.00309,21.34348,34.38867,29.82522,23.96599,20.19183,19.30549,23.6551,25.20204,Monitor
51.93468,56.13619,51.78698,62.05701,57.1759,50.88578,52.91137,53.63234,53.11367,51.46805,Electric Fan
52.97725,48.15532,56.59232,55.51882,45.96447,53.35838,57.13986,42.62092,46.15602,55.6149,Laptop Charger
13.53941,5.56567,15.97877,20.19687,15.11906,10.72621,16.36676,9.08166,6.72298,10.06159,Desk Lamp
